label	documents	avg_publication_year	avg_citations
China	131	2021.969	11.13
India	74	2023.541	4.243
United States	65	2020.446	14.6
United Kingdom	29	2019.172	14.241
South Korea	25	2022.24	11.92
Australia	20	2020.4	35.35
Italy	15	2022.133	8.733
Taiwan	14	2020.786	9.214
Germany	13	2020.769	5.769
Hong Kong	13	2020.538	4.308
France	11	2020.636	33.0
Brazil	9	2021.444	6.778
Japan	9	2020.889	4.111
Spain	9	2021.778	5.889
Iran	8	2022.25	12.875
Russian Federation	8	2021.75	6.5
Singapore	8	2020.375	17.75
Switzerland	8	2019.5	22.625
Canada	7	2020.429	16.857
Indonesia	7	2023.429	6.857
Poland	7	2023.714	10.857
Portugal	7	2022.286	3.429
United Arab Emirates	7	2021.857	30.429
Greece	5	2022.2	8.0
Malaysia	5	2023.4	10.2
Netherlands	5	2019.6	20.8
Saudi Arabia	5	2020.8	2.0
Philippines	4	2022.5	1.25
Thailand	4	2021.75	3.0
Ukraine	4	2022.25	4.75
Viet Nam	4	2020.75	20.75
Bangladesh	3	2020.667	8.0
Belgium	3	2022.0	7.0
Finland	3	2021.0	5.333
Pakistan	3	2023.333	6.333
